,ASIN,GROUP,FORMAT,TITLE,AUTHOR,PUBLISHER,Description,Price,Rating
23001,B06XS6X95V,kindle,kindle edition,The Minimalist Mindset: The Constant Art of Simplifying Your Life,Danny Dover,Intriguing Ideas Press,,,
23002,B0198LVV8G,kindle,kindle edition,Stepbrother With Benefits 15 (Third Season),Mia Clark,Cherrylily,,,
23003,B002X793GK,kindle,kindle edition,QuirologÃ­a. Sobre el modo de hablar de las manos (Spanish Edition),Caramuel,Biblioteca Nueva/Digitalia,,,
23004,B00ME5RTOY,kindle,kindle edition,Dirty Deal (A Perfectly Matched Novel) (Entangled Brazen),Christine Bell,Entangled: Brazen,,,
23005,B00IDEQM6G,kindle,kindle edition,Really the Blues: A Mystery,Joseph Koenig,Pegasus,,,
23006,B00AHV2EAQ,kindle,kindle edition,Fatal Error: Power and Money Thriller: Book 6,Michael Ridpath,,,,
23007,B0722JXGD9,kindle,kindle edition,Shades of Lavender,"Stacy Baron, June Foster, Lori Landis, Jenna Victoria, Diane Dean White","Forget Me Not Romances, a division of Winged Publi",,,
23008,B06XBKSRQ2,kindle,kindle edition,"50 Classic Western Stories You Should Read (Golden Deer Classics): The Last Of The Mohicans, The Log Of A Cowboy, Riders of the Purple Sage, Cabin Fever, Black Jack...","Zane Grey, Golden Deer Classics, James Fenimore Cooper, Washington Irving, Ann S. Stephens, Frederic Balch, Bret Harte, Marah Ellis Ryan, Samuel Merwin, Owen Wister, Andy Adams, B.M. Bower, O. Henry, Dane Coolidge, James Oliver Curwood, Max Brand",Oregan Publishing,,,
23009,B0722RZBPQ,kindle,kindle edition,Don Quixote (Golden Deer Classics),"Miguel De Cervantes, Miguel Cervantes, Golden Deer Classics, John Ormsby",Oregan Publishing,,,
23010,B06Y4C9NSM,kindle,kindle edition,The Divine Comedy (Zongo Classics),Dante Alighieri,Zongo,,,
23011,B01BBUQINK,kindle,kindle edition,Challenging the Doctor Sheikh (Desert Prince Docs),Amalie Berlin,Harlequin Medical Romances,,,
23012,B00X4114W0,kindle,kindle edition,Lady Midnight (The Dark Artifices Book 1),Cassandra Clare,Margaret K. McElderry Books,,,
23013,B009CGEEBY,kindle,kindle edition,The Outsider (Ash Rashid Series),Chris Culver,Grand Central Publishing,,,
23014,B01BLSZ2KW,kindle,kindle edition,"When I Lost You: A gripping, heart breaking novel of lost love.",Kelly Rimmer,Bookouture,,,
23015,B01BNEGRVW,kindle,kindle edition,"Dump the Futa President: Making America Great Again, Holmes (Presidential Politics, Current Events, Satire, Candidates, Alpha Billionaire, Alien, Futa)",Moctezuma Johnson,,,,
23016,B00DKEE45K,kindle,kindle edition,On the Scent: HarperImpulse Romantic Suspense,Angela Campbell,HarperImpulse,,,
23017,B00G3L12W0,kindle,kindle edition,Everyone's a Critic: Winning Customers in a Review-Driven World,Bill Tancer,Portfolio,,,
23018,B071LN91PV,kindle,kindle edition,Vigilante Angels Book I: The Priest,Billy DeCarlo,Wild Lake Press,,,
23019,B00J7EHYQ8,kindle,kindle edition,Closing In,Sue Fortin,HarperImpulse,,,
23020,B01CD6KWH4,kindle,kindle edition,This Time Forever (German Edition),Kim Henry,,,,
23021,B01CGKLGVI,kindle,kindle edition,Steak & BJ Futa Bundle: Presidential Politics Perfume Alpha Billionaire Cuckold Feminization Asian Massage Yoga Studio Bad Boy Humiliation,"Moctezuma Johnson, SPANKable Productions",Girls Carrying Books,,,
23022,B00QPMNXVK,kindle,kindle edition,Fae - The Realm of Twilight (The Riven Wyrde Saga Book 2),Graham Austin-King,Fallen Leaf Press,,,
23023,B007OPUNHO,kindle,kindle edition,A Cowgirl's Pride (Thunder Creek Ranch),Lorraine Nelson,Evernight Publishing,,,
23024,B016A31ZWM,kindle,kindle edition,Need You for Mine (Heroes of St. Helena),Marina Adair,Montlake Romance,,,
23025,B00PCD9YMU,kindle,kindle edition,Memories of a Forgotten Hero (Tales From Arcadia Book 1),Nick Kearney,Culbin Press,,,
23026,B00KFVQ1WA,kindle,kindle edition,101 poems to read in London & New York... - 101 poesie da leggere a Londra e New York...: Bilingual parallel text - Bilingue con testo inglese a fronte: ... / Inglese - Italiano (Italian Edition),Wirton Arvel,Kentauron,,,
23027,B006YTYM8C,kindle,kindle edition,Scelta del Cuore (Italian Edition),"Mary Calmes, Cornelia Grey",Dreamspinner Press,,,
23028,B00ET5PQEC,kindle,kindle edition,"The Academy - Friends vs. Family (Year One, Book Three) (The Academy Series)",C. L. Stone,Arcato Publishing,,,
23029,B01ENNKTFK,kindle,kindle edition,He's In My Dreams,Jeanne Hardt,,,,
23030,B00QQOIS8U,kindle,kindle edition,Lord Darlington's Darling: A lady learns to mind her own heart,Gayle Buck,,,,
23031,B00X51ZAH4,kindle,kindle edition,Under a Werewolf Moon: Adventures of a Randy Elfmaid,Warren Thomas,Rollicking Dragon Press,,,
23032,B01MU5F5KQ,kindle,kindle edition,Fatal Option,Chris Beakey,Post Hill Press,,,
23033,B074W7BP11,kindle,kindle edition,Picture Perfect Murder (A Ryli Sinclair Mystery Book 1),Jenna St. James,Summer Prescott Books,,,
23034,B00RKGVA38,kindle,kindle edition,GET IELTS BAND 9 - In Academic Writing - BOOK 2 - Essay Planning,Cambridge IELTS Consultants,Cambridge IELTS Consultants,,,
23035,B074B27SKN,kindle,kindle edition,Loving Matt: A Sunset Bay romance,Helen Lynch,,,,
23036,B00H8SP8VS,kindle,kindle edition,A Christmas Miracle (Holiday Hunks Book 1),Rose Francis,Poison Arrow Publishing,,,
23037,B01ARSC5RK,kindle,kindle edition,One Moment At Sunrise,Karen Aldous,Carina,,,
23038,B01G2EBGXM,kindle,kindle edition,MADHOUSE,"Scott Nicholson, John Skipp, Megan Hart, Jeff Strand, Mercedes Yardley, Lisa Morton, Aeron Alfrey, B",Dark Regions Press,,,
23039,B00LZGBDJK,kindle,kindle edition,How (Not) to Fall in Love,Lisa Brown Roberts,Entangled: Teen,,,
23040,B01BS9SCFG,kindle,kindle edition,No. 17,J. Jefferson Farjeon,Collins Crime Club,,,
23041,B00SLY9N0K,kindle,kindle edition,Alien Sky (Alien Hunters Book 2),Daniel Arenson,,,,
23042,B00A9WDYAW,kindle,kindle edition,Evil for Evil (DI Marjory Fleming Book 7),Aline Templeton,Allison & Busby,,,
23043,B00SLHSJFC,kindle,kindle edition,"Act of Abduction: JosÃ© Picada, P.I.","Heather Fraser Brainerd, David Fraser",MuseItUp Publishing,,,
23044,B00TAIJRF2,kindle,kindle edition,Forever Faithful,Isabella,Sapphire Books Publishing,,,
23045,B0752D8QQB,kindle,kindle edition,Saving Noah,Lucinda Berry,Rise Press,,,
23046,B01F1RV6Z4,kindle,kindle edition,Harlequin Superromance August 2016 Box Set: The Marine's Embrace\To Court a Cowgirl\Love on Her Terms\Through a Magnolia Filter (In Shady Grove),"Beth Andrews, Jeannie Watt, Jennifer Lohmann, Nan Dixon",Harlequin Superromance,,,
23047,B076P35F77,kindle,kindle edition,Tempest Outpost,Brad harmer-barnes,Severed Press,,,
23048,B01GHIEON2,kindle,kindle edition,The Corpse Lodging,E J Henry,Endeavour Press,,,
23049,B01BS5ERZY,kindle,kindle edition,Songkeeper (The Songkeeper Chronicles Book 2),Gillian Bronte Adams,Enclave,,,
23050,B075V79375,kindle,kindle edition,"Walden (Cronos Classics)(Best Navigation, Active TOC)","Henry David Thoreau, Cronos Classics",Cronos Classics,,,
23051,B01IL8N6ZS,kindle,kindle edition,New Beginnings: (Beginnings #1),"Iris Blobel, Kay Springsteen",Iris Blobel,,,
23052,B00NW4MVEY,kindle,kindle edition,Lady Veronica,Geneva West,,,,
23053,B077CR7D1B,kindle,kindle edition,Overnight to Boston and Prom Night: Two gay short stories,Kendall Morgan,Tulabella Ruby Press,,,
23054,B00QBOD5U6,kindle,kindle edition,Tidewater: A Novel of Pocahontas and the Jamestown Colony,Libbie Hawker,Lake Union Publishing,,,
23055,B071HPYMPX,kindle,kindle edition,Beware the Ranger (Texas Lawmen Book 1),Debra Holt,Tule Publishing,,,
23056,B0774W3Z4T,kindle,kindle edition,Hail Warning,"Brett Arquette, Andrea Kerr, Jim Gabler",,,,
23057,B01G50QX0O,kindle,kindle edition,In the Light of the Garden: A Novel,Heather Burch,Lake Union Publishing,,,
23058,B077Z2QX9W,kindle,kindle edition,Brechmann: SoKo Hamburg 17 - Ein Heike Stein Krimi (Soko Hamburg - Ein Fall fÃ¼r Heike Stein) (German Edition),Martin Barkawitz,BookRix,,,
23059,B00WKW4A4I,kindle,kindle edition,Stripe Tease: BBW Paranormal Shape Shifter Romance (Furocious Lust Shorts Book 4),Milly Taiden,Latin Goddess Press,,,
23060,B00BQNECG8,kindle,kindle edition,Create Distinction: What to Do When ''Great'' Isn't Good Enough to Grow Your Business,Scott McKain,Greenleaf Book Group Press,,,
23061,B004G8QSE4,kindle,kindle edition,The Orphan Sister,Gwendolen Gross,Gallery Books,,,
23062,B00XFK4FSK,kindle,kindle edition,No Turning Back (The Liliana Series Book 3),Neva Squires-Rodriguez,Vanilla Heart Publishing,,,
23063,B07759FC9K,kindle,kindle edition,"Curses, Foiled Again",Sera Trevor,NineStar Press,,,
23064,B01LWZ6Z75,kindle,kindle edition,Daddy's Girl: An extreme psychological horror,Anton Palmer,,,,
23065,B078ZWZ3YG,kindle,kindle edition,"Sex, Not Love","Vi Keeland, Jessica Royer Ocken",,,,
23066,B003OUXEDI,kindle,kindle edition,Dead Space: Martyr,Brian Evenson,Tor Books,,,
23067,B00I99PLJ4,kindle,kindle edition,"NICHOLAS NICKLEBY (complete, unabridged and with all the original illustrations from first publication)",CHARLES DICKENS,Charles Dickens Classics: Nicholas Nickleby,,,
23068,B078JX594R,kindle,kindle edition,Jane Eyre at Cranbridge: A Jane Eyre Sequel,Emma Foxwood,,,,
23069,B00V93QPJM,kindle,kindle edition,"Chosen by Him (Chosen by Him Series, Book 1): An Alpha Billionaire Romance",Ellie Danes,,,,
23070,B073VT8SYB,kindle,kindle edition,Palace of Pleasure: Kingston (Club der MilliardÃ¤re 2) (German Edition),Bobbie Kitt,,,,
23071,B003KGAZVK,kindle,kindle edition,Fiddlers: A Novel of the 87th Precinct (87th Precinct Mysteries Book 55),Ed McBain,Mariner Books,,,
23072,B0781B4N9N,kindle,kindle edition,Promise Me Always,Rhonda Shaw,,,,
23073,B00NP6DDZA,kindle,kindle edition,Mitternachtsregen (German Edition),"Barbara Samuel, Cornelia RÃ¶ser",AmazonCrossing,,,
23074,B01LZ37S1U,kindle,kindle edition,The Aggressive Lover (The Defiled Saga Book 2),S.L. Hadley,,,,
23075,B01M7QTATC,kindle,kindle edition,Snowbound with Mr. Wrong,Barbara White Daille,Entangled: Bliss,,,
23076,B01N9ASKE9,kindle,kindle edition,The Maid and The Footman: A Pride and Prejudice Variation,"Don Jacobson, a Lady",,,,
23077,B01MPZTV5A,kindle,kindle edition,Marriage Games (The Games Duet Book 1),CD Reiss,Flip City Media Inc.,,,
23078,B079Z91633,kindle,kindle edition,Three Secrets: An utterly gripping psychological suspense thriller,Clare Boyd,Bookouture,,,
