,ASIN,GROUP,FORMAT,TITLE,AUTHOR,PUBLISHER,Description,Price,Rating
0,1250150183,book,hardcover,The Swamp: Washington's Murky Pool of Corruption and Cronyism and How Trump Can Drain It,Eric Bolling,St. Martin's Press," The Instant New York Times and USA Today Bestseller!When Washington D.C. was first built, it was on top of a swamp that had to be drained. Donald Trump says it's time to drain it again. In The Swamp, bestselling author Eric Bolling presents an infuriating, amusing, revealing, and outrageous history of American politics, past and present, Republican and Democrat. From national political scandals to tempests in a teapot that blew up; bribery, blackmail, bullying, and backroom deals that contradicted public policies; cronyism that cost taxpayers hundreds upon hundreds of millions of dollars; and personal conduct that can only be described as regrettable, The Swamp is a journey downriver through the bayous and marshes of Capitol Hill and Foggy Bottom. The presidential election of 2016 was ugly, but it exposed a political, media, industry, and elite establishment that desperately wanted to elect a politician who received millions of dollars from terror-funding states over a businessman willing to tell the corrupt or incompetent, “You’re fired.”The book concludes with a series of recommendations for President Trump: practical, hard-headed, and concise ways to drain the swamp and force Washington to be more transparent, more accountable, and more effective in how it serves those who have elected its politicians and pay the bills for their decisions.Last year President Trump declared Wake Up America to be a ""huge"" book; Eric Bolling's second book is sure to build on that success. Entertaining and timely, The Swamp is the perfect book for today's political climate.",$5.95,4.5
1,0778319997,book,hardcover,"Rise and Shine, Benedict Stone: A Novel",Phaedra Patrick,Park Row Books," Phaedra Patrick's debut novel, The Curious Charms of Arthur Pepper, was hailed as ""poignant"" and ""utterly endearing."" Now she returns with Rise and Shine, Benedict Stone, a gem of a novel about family, forgiveness and one man's second chance at happiness. Moonstone for empathy. Azurite for memories. Lapis lazuli for truth In the quiet village of Noon Sun, Benedict Stone has settled into a complacent and predictable routine. Business at his jewelry shop has dried up; his marriage is on the rocks. His life is in desperate need of a jump start And then a surprise arrives at his door. Gemma is Benedict's audacious teenage niecethe daughter of his estranged brother, Charlie. The two Stone brothers had a falling out and haven't spoken in almost two decades, since Charlie left for America. Reckless and stubborn, Gemma invites herself into Benedict's world and turns his orderly life upside down. But she might just be exactly what he needs to get his life back on track Filled with colorful characters and irresistible charm, Rise and Shine, Benedict Stone is a luminous reminder of the unbreakable bonds of family, and shows that having someone to embrace life with is always better than standing on your own.",$16.99,4.2
2,1608322564,book,hardcover,Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,Greenleaf Book Group Press," Whether it's selling your company's product in the boardroom or selling yourself on eating healthy, everything in life can and should be treated as a sale. And as sales expert Grant Cardone explains, knowing the principles of selling is a prerequisite for success of any kind.   In Sell or Be Sold, Cardone breaks down the techniques and approaches necessary to master the art of selling in any avenue. You will learn how to handle rejection, turn around negative situations, shorten sales cycles, and guarantee yourself greatness. Cardone will also teach you the success essentials of  Selling in a bad economy  Overcoming call reluctance  Filling your pipeline with new business  Staying positive, despite rejection  With the experience of a seasoned sales vet at the helm, Sell or Be Sold will change the way you perceive the sale and life.",$21.80,4.6
3,0310325331,book,hardcover,Christian Apologetics: An Anthology of Primary Sources,"Khaldoun A. Sweis, Chad V. Meister",Zondervan," Christian Apologetics: An Anthology of Primary Sources makes available over fifty primary source selections that address various challenges to Christian faith in the history of Christian apologetics. The compilation represents a broad Christian spectrum, ranging from early writers like Saint Paul and Saint Augustine, to Saint Teresa of Avila and Blaise Pascal, to more recent and present day apologists such as C. S. Lewis, Alvin Plantinga, William Lane Craig, Richard Swinburne and Pope Benedict XVI. Insightful introductions, black-and-white images, concise section headings and discussion questions guide readers toward a clearer understanding of classical defenses of Christianity. Annotated reading lists, a bibliography and author and subject indices contribute to the suitability of this anthology as a textbook or supplemental reader. Christian Apologetics: An Anthology of Primary Sources is an authoritative reference for key persons, concepts, issues and approaches in the history of Christian apologetics. It is especially useful as a supplemental textbook for students, allowing them to read great apologists and thinkers in their own words.",$32.09,4.8
4,0312616295,book,hardcover,Gravity: How the Weakest Force in the Universe Shaped Our Lives,Brian Clegg,St. Martin's Press,,,
5,1250066190,book,hardcover,Glass Houses: A Novel (Chief Inspector Gamache Novel),Louise Penny,Minotaur Books," An instant New York Times Bestseller and August 2017 LibraryReads pick!“Penny’s absorbing, intricately plotted 13th Gamache novel proves she only gets better at pursuing dark truths with compassion and grace.” ―PEOPLE“Louise Penny wrote the book on escapist mysteries.” ―The New York Times Book Review“You won't want Louise Penny's latest to end….Any plot summary of Penny’s novels inevitably falls short of conveying the dark magic of this series.... It takes nerve and skill ― as well as heart ― to write mysteries like this. ‘Glass Houses,’ along with many of the other Gamache books, is so compelling that, for the space of reading it, you may well feel that much of what’s going on in the world outside the novel is ‘just noise.’” ―Maureen Corrigan, The Washington PostWhen a mysterious figure appears in Three Pines one cold November day, Armand Gamache and the rest of the villagers are at first curious. Then wary. Through rain and sleet, the figure stands unmoving, staring ahead.From the moment its shadow falls over the village, Gamache, now Chief Superintendent of the Sûreté du Québec, suspects the creature has deep roots and a dark purpose. Yet he does nothing. What can he do? Only watch and wait. And hope his mounting fears are not realized. But when the figure vanishes overnight and a body is discovered, it falls to Gamache to discover if a debt has been paid or levied.Months later, on a steamy July day as the trial for the accused begins in Montréal, Chief Superintendent Gamache continues to struggle with actions he set in motion that bitter November, from which there is no going back. More than the accused is on trial. Gamache’s own conscience is standing in judgment.In Glass Houses, her latest utterly gripping book, number-one New York Times bestselling author Louise Penny shatters the conventions of the crime novel to explore what Gandhi called the court of conscience. A court that supersedes all others.",$16.49,4.7
6,1592643124,book,hardcover,Reference Guide to the Talmud,Rabbi Adin Steinsaltz,The Toby Press,,,
7,1849962839,book,hardcover,Induction Motor Control Design (Advances in Industrial Control),"Riccardo Marino, Patrizio Tomei, Cristiano M. Verrelli",Springer,,,
8,022640014X,book,hardcover,"The Diversity Bargain: And Other Dilemmas of Race, Admissions, and Meritocracy at Elite Universities",Natasha K. Warikoo,University Of Chicago Press," We’ve heard plenty from politicians and experts on affirmative action and higher education, about how universities should intervene—if at all—to ensure a diverse but deserving student population. But what about those for whom these issues matter the most? In this book, Natasha K. Warikoo deeply explores how students themselves think about merit and race at a uniquely pivotal moment: after they have just won the most competitive game of their lives and gained admittance to one of the world’s top universities.             What Warikoo uncovers—talking with both white students and students of color at Harvard, Brown, and Oxford—is absolutely illuminating; and some of it is positively shocking. As she shows, many elite white students understand the value of diversity abstractly, but they ignore the real problems that racial inequality causes and that diversity programs are meant to solve. They stand in fear of being labeled a racist, but they are quick to call foul should a diversity program appear at all to hamper their own chances for advancement. The most troubling result of this ambivalence is what she calls the “diversity bargain,” in which white students reluctantly agree with affirmative action as long as it benefits them by providing a diverse learning environment—racial diversity, in this way, is a commodity, a selling point on a brochure. And as Warikoo shows, universities play a big part in creating these situations. The way they talk about race on campus and the kinds of diversity programs they offer have a huge impact on student attitudes, shaping them either toward ambivalence or, in better cases, toward more productive and considerate understandings of racial difference.             Ultimately, this book demonstrates just how slippery the notions of race, merit, and privilege can be. In doing so, it asks important questions not just about college admissions but what the elite students who have succeeded at it—who will be the world’s future leaders—will do with the social inequalities of the wider world.    ",$21.95,5.0
9,9176374343,book,hardcover,White Fang (Wisehouse Classics - With Original Illustrations),Jack London,Wisehouse Classics,,,
