,ASIN,GROUP,FORMAT,TITLE,AUTHOR,PUBLISHER,Description,Price,Rating
43001,1414348282,book,paperback,The One Year Uncommon Life Daily Challenge,"Tony Dungy, Nathan Whitaker",Tyndale Momentum," Retailers Choice Award winner, 2012Strengthen the core of your life and faith on a year-long journey with beloved Super Bowl–winning former head coach Tony Dungy! The One Year Uncommon Life Daily Challenge contains 365 reflections from the #1 New York Times bestselling author on living an “uncommon life” of integrity, honoring your family and friends, creating a life of real significance and impact, and walking with the Lord. This year, step up to the challenge―and dare to be uncommon every day.",$10.84,4.8
43002,1977555837,book,paperback,Modeling and simulation of AC machine Using Matlab Simulink: Induction Machine,Mourad Boufadene,CreateSpace Independent Publishing Platform, Unavailable,$3.07,
43003,1449489427,book,paperback,the witch doesn't burn in this one,"Amanda Lovelace, ladybookmad",Andrews McMeel Publishing," 2016 Goodreads Choice Award-winning poet Amanda Lovelace returns in the witch doesn't burn in this one — the bold second book in her ""women are some kind of magic"" series. The witch: supernaturally powerful, inscrutably independent, and now—indestructible. These moving, relatable poems encourage resilience and embolden women to take control of their own stories. Enemies try to judge, oppress, and marginalize her, but the witch doesn’t burn in this one. ",$11.99,4.4
43004,1617291412,book,paperback,The Joy of Clojure,"Michael Fogus, Chris Houser",Manning Publications,,,
43005,394828186,book,paperback,The Alphabet Book (Pictureback(R)),P.D. Eastman,Random House Books for Young Readers," P.D. Eastman, the author of Go, Dog, Go! and Are You My Mother? takes you on a silly romp through the alphabet. From American Ants to a Zebra with a Zither, there are laughs in store: an elephant on eggs! A walrus in a wig!And there's a handy alphabet down the side of each page so that everyone can keep track of where they are in the ABC's.",$3.99,4.0
43006,1591265150,book,paperback,ARE 5 Review Manual for the Architect Registration Exam,"David Kent Ballast, Steven  E. O'Hara PE","Professional Publications, Inc.",,,
43007,1852303530,book,paperback,The Hand Reveals: A Complete Guide to Cheiromancy : The Western Tradition of Handreading,"Dylan Warren-Davis, Steve Eddy",Element Books," Book by Warren-Davis, Dylan, Eddy, Steve",,5.0
43008,9491868020,book,paperback,The Beatles' Recordings. a Compendium,Steve Lambley,Steve Lambley Information Design," Unquestionably, the Beatles remain the key band of the rock era. Although their official recording career spanned just seven years, the musical legacy that they continue to bestow upon global popular culture some 50 years later is immense. It is testament to the incredible power that they had in shaping the musical landscape. Here, in a single volume, are the facts behind all their studio, radio, television and film recordings - dates; locations; take and mix numbers; overdubbing, editing and release details; and UK and US chart data. From 'Across The Universe' to 'Your Feet's Too Big', The Beatles' Recordings gives details of the 314 songs that the Beatles recorded and released between 1958 and 2013.",$11.79,
43009,803260180,book,paperback,A Stronger Kinship: One Town's Extraordinary Story of Hope and Faith,Anna-Lisa Cox,Bison Books," In the heartland of the United States 150 years ago, where racism and hatred were common, a community decided there could be a different America. Here schools and churches were completely integrated, blacks and whites intermarried, and power and wealth were shared by both races. But for this to happen, the town’s citizens had to keep secrets, break the laws of the world outside, and sweep aside fear and embrace hope. In a historical-detective feat, Anna-Lisa Cox uncovers the heartening story of this community that took the road untaken. Beginning in the 1860s, the people of Covert, Michigan, attempted to do what then seemed impossible: love one’s neighbor—regardless of skin color—as oneself. Drawing on diaries, oral histories, and contemporary records, Cox gives us intimate glimpses of Covert’s people, from William Conner, the Civil War veteran who went on to become Michigan's first black justice of the peace, to Elizabeth Gillard, who, shipwrecked and washed onto Covert's shores, ultimately came to love the unusual community she would call home. In bringing these and other stories of this small town to light, Cox presents a vision of what our nation might have been, and could be.",$15.69,4.5
43010,615848125,book,paperback,Ice Storm (Cy Reed Adventure) (Volume 2),David Meyer,Guerrilla Explorer Publishing," Deep in the heart of Antarctica lies a forgotten military installation. Deadly secrets are secured behind its doors…including the remnants of a decades-old plot to devastate mankind.   Disgraced treasure hunter Cy Reed is on the trail of an incredible treasure when a cargo ship mysteriously explodes. At the same time, a team of geologists makes an astonishing discovery that could rewrite ancient history. And a beast of impossible origins unleashes a bloody rampage across the ice.   As Reed unravels the mysteries behind Antarctica's dark past, he begins to uncover a sinister conspiracy. Plagued by ferocious storms and betrayed on all sides, he races toward an inevitable clash that could salvage his ruined reputation…or unleash hell upon the world.",,3.9
