,ASIN,GROUP,FORMAT,TITLE,AUTHOR,PUBLISHER,Description,Price,Rating
2001,1451697384,book,hardcover,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,Simon & Schuster," The most important book yet from the author of the international bestseller The Shock Doctrine, a brilliant explanation of why the climate crisis challenges us to abandon the core “free market” ideology of our time, restructure the global economy, and remake our political systems.In short, either we embrace radical change ourselves or radical changes will be visited upon our physical world. The status quo is no longer an option. In This Changes Everything Naomi Klein argues that climate change isn’t just another issue to be neatly filed between taxes and health care. It’s an alarm that calls us to fix an economic system that is already failing us in many ways. Klein meticulously builds the case for how massively reducing our greenhouse emissions is our best chance to simultaneously reduce gaping inequalities, re-imagine our broken democracies, and rebuild our gutted local economies. She exposes the ideological desperation of the climate-change deniers, the messianic delusions of the would-be geoengineers, and the tragic defeatism of too many mainstream green initiatives. And she demonstrates precisely why the market has not—and cannot—fix the climate crisis but will instead make things worse, with ever more extreme and ecologically damaging extraction methods, accompanied by rampant disaster capitalism. Klein argues that the changes to our relationship with nature and one another that are required to respond to the climate crisis humanely should not be viewed as grim penance, but rather as a kind of gift—a catalyst to transform broken economic and cultural priorities and to heal long-festering historical wounds. And she documents the inspiring movements that have already begun this process: communities that are not just refusing to be sites of further fossil fuel extraction but are building the next, regeneration-based economies right now. Can we pull off these changes in time? Nothing is certain. Nothing except that climate change changes everything. And for a very brief time, the nature of that change is still up to us.",$29.00,4.5
2002,1452153477,book,hardcover,Welcome to the Club,Raquel D'Apice,Chronicle Books," From the comedian behind the popular parenting blog The Ugly Volvo comes a refreshing spin on the baby milestone book. Instead of a place to lovingly capture the first time baby sleeps through the night, this book shows what it's like the first time baby rolls off the bed/sofa/changing table, leaving mom or dad in a state of pure terror (it happens). These 100 rarely documented but all-too-realistic milestones—such as ""First Time Baby Says a Word You Didn't Want Her to Say""—provide comfort, solidarity, and comic relief for new parents. Laugh-out-loud relatable text and distinctive paper-cut illustrations of these ""bad"" parenting moments make this a must-have book for anyone entering the mysterious club of parenthood.",$10.94,4.8
2003,0989452980,book,hardcover,"Healing without Hurting: Treating ADHD, Apraxia and Autism Spectrum Disorders Naturally and Effectively without Harmful Medications",LPC Kozek,Changing Lives Press," Jennifer Kozek is a therapist who practices in Connecticut, and is also the mother of a son with Autism Spectrum disorders. After treating Evan bio-medically, along with other healing practices, Jennifer witnessed the kind of improvements that every parent of a similarly diagnosed child dreams of: Evan no longer grunts and screams, throws toys, hits others, or has mood swings. He no longer throws himself into fits of uncontrollable rage,  listens to his teachers & responds appropriately. He copes better with changes in routine & makes eye contact more often. He no longer enters into a trance-like state and the list goes on. Evan is now a happy, well-adjusted, 7 year-old.  It is the author's mission to reach  the millions of parents who struggle to find healthier and more natural ways to treat their children's nuanced disorders. Healing without Hurting, includes a full menu of natural treatment options, including:   A real world success story.  Specific points highlighted in boxes. Tips that highlight the main ideas of each chapter. Simple recipes and healthy alternatives.    Readers will learn how to:   Identify common labels of behaviors. Recognize the early warning signs that an autoimmune disorder is brewing. Identify the different medications; potential benefits and side-effects. Find the right doctors and practitioners. Identify food sensitivities and other autoimmune assaults. Test for nutritional deficiencies and causes for malabsorption. Heal the intestinal system. Strengthen the immune system. Look for and treat the other underlying issues, e.g. sleep problems. Shop for the best vitamin supplements on the market. Recognize food additives to avoid. Avoid toxins in their environment. Wash away toxins from the body. Incorporate other effective healing treatments and modalities. Have the healthiest pregnancy possible to reduce the risk of ADHD and autism. Instill healthy eating and other practices for their family. The Author would like to help shift current medical and society practices. ",$21.24,4.8
2004,342104693X,book,hardcover,Wunschdenken,Thilo Sarrazin,Deutsche Verlags-Anstalt,,$32.99,4.0
2005,161655391X,book,hardcover,MIND MGMT Volume 4: The Magician,Matt Kindt,Dark Horse Originals," The second half of Matt Kindt's MIND MGMT epic begins with just as many questions as the first! Meru is back on the team, but can she ever trust Lyme again? What role did the Magician play in the Management's history of the 1960s through the 1980s? And what is the secret of the Seven Immortals? This brain-bending new collection features new characters, shocking twists, an astonishing ""silent"" issue, and--at last--the life and times of Henry Lyme! Collects MIND MGMT #19-#24 and a story from Dark Horse Presents #31.",$19.84,4.7
2006,1455536121,book,hardcover,Teddy and Me: Confessions of a Service Human,Michael Savage,Center Street,"  New York Times bestselling author Michael Savage delivers a heartwarming book about his experiences and relationship with his dog Teddy.Listeners know Teddy as the silent ""other host"" of The Savage Nation. He's at Michael Savage's side during every broadcast, guarding the radio equipment and nipping the engineer's sneakers. But the fun doesn't end when the ""On-Air"" light goes off. Teddy is Savage's constant companion, in the car, at home, and even shopping. Most important, he's Savage's inspiration, helping him remember the most important things in life are the little things. TEDDY AND ME is a rare glimpse into the life of one of America's most popular talk radio hosts. Come along for the ride as Savage and his best friend explore the streets of San Francisco, ride the ""Tedevator,"" and read bedtime stories together. If you've ever wondered how the conservative icon who can go from zero to enraged in a matter of seconds has kept his sanity in an insane world, this book has the answer. To the political establishment, he's a force of nature, but to Teddy, Michael Savage is just his ""service human."" Spend a day in the life of a media giant and the most politically savvy canine alive in TEDDY AND ME.",$8.51,4.6
2007,0425290409,book,hardcover,The First Rule of Punk,Celia C. PÃ©rez,Viking Books for Young Readers," A 2018 Pura Belpré Author Honor BookThe First Rule of Punk is a wry and heartfelt exploration of friendship, finding your place, and learning to rock out like no one’s watching. There are no shortcuts to surviving your first day at a new school—you can’t fix it with duct tape like you would your Chuck Taylors. On Day One, twelve-year-old Malú (María Luisa, if you want to annoy her) inadvertently upsets Posada Middle School’s queen bee, violates the school’s dress code with her punk rock look, and disappoints her college-professor mom in the process. Her dad, who now lives a thousand miles away, says things will get better as long as she remembers the first rule of punk: be yourself.   The real Malú loves rock music, skateboarding, zines, and Soyrizo (hold the cilantro, please). And when she assembles a group of like-minded misfits at school and starts a band, Malú finally begins to feel at home. She'll do anything to preserve this, which includes standing up to an anti-punk school administration to fight for her right to express herself! Black and white illustrations and collage art throughout make The First Rule of Punk a perfect pick for fans of books like Roller Girl and online magazines like Rookie.",$11.73,4.8
2008,1595148582,book,hardcover,The Library of Fates,Aditi Khorana,Razorbill," A romantic coming-of-age fantasy tale steeped in Indian folklore, perfect for fans of The Star-Touched Queen and The Wrath and the Dawn ""Aditi Khorana has whipped up the perfect book recipe: a rogue princess, a freed oracle, and a library with the power to change your fate!"" —Justine MagazineNo one is entirely certain what brings the Emperor Sikander to Shalingar. Until now, the idyllic kingdom has been immune to his many violent conquests. To keep the visit friendly, Princess Amrita has offered herself as his bride, sacrificing everything—family, her childhood love, and her freedom—to save her people. But her offer isn't enough. The palace is soon under siege, and Amrita finds herself a fugitive, utterly alone but for an oracle named Thala, who was kept by Sikander as a slave and managed to escape amid the chaos. With nothing and no one else to turn to, Amrita and Thala are forced to rely on one another. But while Amrita feels responsible for her kingdom and sets out to warn her people, the newly free Thala has no such ties. She encourages Amrita to go on a quest to find the fabled Library of All Things, where it is possible for each of them to reverse their fates. To go back to before Sikander took everything from them.  Stripped of all that she loves, caught between her rosy past and an unknown future, will Amrita be able to restore what was lost, or does another life—and another love—await?",$11.22,3.9
2009,0470635525,book,hardcover,Playbook for Success: A Hall of Famer's Business Tactics for Teamwork and Leadership,"Nancy Lieberman, Earvin Magic"" Johnson""",Wiley," A top coach teaches the sports-related skills and basics everywomen needs to succeed There are basics that every woman must have if she is to succeedin the corporate world, start and run her own business, or coachher own winning team. In Playbook for Success, Hall of FameBusiness Entrepreneur Nancy Lieberman brings her leadership andcoaching ability to the boardroom to teach professional women thesame rules of success she teaches her players.Playbook for Success is a plan to help make success apart of one's daily routine and teach women that success is notjust a title or corner office, but an attitude, belief, and way oflife.Teaches the top sports-related skills women need to thrive inthe corporate world, featuring a provocative examination of womenand teamworkIncludes profiles of women succeeding in business, ways torecognize your own strengths and weaknesses, and exercises that canbe used in the business worldForeword by Basketball Hall of Famer and business legend Earvin""Magic"" JohnsonPlaybook for Success gives you a unique and inspirationalroad map to compete and win in your life and career.",$15.49,4.5
2010,0199660840,book,hardcover,The Oxford Handbook of the Age of Shakespeare (Oxford Handbooks),R. Malcolm Smuts,Oxford University Press,,,
2011,149642560X,book,hardcover,"Memory Rescue: Supercharge Your Brain, Reverse Memory Loss, and Remember What Matters Most",Dr. Daniel G. Amen,Tyndale Momentum," A proven program from #1 New York Times bestselling author and brain researcher Dr. Daniel Amen to help you change your brain and improve your memory today!Brain imaging research demonstrates that memory loss actually starts in the brain decades before you have any symptoms. Learn the actions you can take to help not just prevent memory loss later in life . . . but to begin restoring the memory you may have already lost.Expert physician Dr. Amen reveals how a multipronged strategy―including dietary changes, physical and mental exercises, and spiritual practices―can improve your brain health, enhance your memory, and reduce the likelihood that you’ll develop Alzheimer’s and other memory loss–related conditions.Keeping your brain healthy isn’t just a medical issue; it’s a God-given capacity and an essential building block for physical, emotional, and spiritual health. Take action against the fast-increasing memory crisis that threatens this crucial part of who you are―and help your brain, body, and soul stay strong for the rest of your life.",$17.67,4.3
2012,0670175919,book,hardcover,Blueberries for Sal (Viking Kestrel picture books),Robert McCloskey,Viking Books for Young Readers," Caldecott Honor BookWhat happens when Sal and her mother meet a mother bear and her cub? A beloved classic is born!Kuplink, kuplank, kuplunk! Sal and her mother a picking blueberries to can for the winter. But when Sal wanders to the other side of Blueberry Hill, she discovers a mama bear preparing for her own long winter.  Meanwhile Sal's mother is being followed by a small bear with a big appetite for berries! Will each mother go home with the right little one?With its expressive line drawings and charming story, Blueberries for Sal has won readers' hearts since its first publication in 1948.""The adventures of a little girl and a baby bear while hunting for blueberries with their mothers one bright summer day. All the color and flavor of the sea and pine-covered Maine countryside.""-School Library Journal, starred review.",$16.19,4.8
2013,1405226099,book,hardcover,Fireman Sam Annual,,Egmont Books Ltd,,,
