,ASIN,GROUP,FORMAT,TITLE,AUTHOR,PUBLISHER,Description,Price,Rating
3001,0762793023,book,hardcover,"1932: The Rise of Hitler and FDR - Two Tales of Politics, Sex, Betrayal, and Unlikely Destiny",David Pietrusza,Lyons Press," Nominated for the American Library Association (ALA)'s Notable Books Council's 2015 Notable Books List Two Depression-battered nations confront their destiny in 1932, going to the polls in their own way to anoint new leaders, to rescue their people from starvation and hopelessness. America elects a Congress and a president--ebullient aristocrat Franklin Roosevelt or tarnished ""Wonder Boy"" Herbert Hoover. Decadent, divided Weimar Germany suffers two rounds of bloody Reichstag elections and two presidential contests--doddering reactionary Paul von Hindenburg against rising radical hate-monger Adolf Hitler.The outcome seemed foreordained--unstoppable forces advancing upon crumbled, disoriented societies. A merciless Great Depression brought greater--perhaps hopeful, perhaps deadly--transformation: FDR's New Deal and Hitler's Third Reich. But neither outcome was inevitable.Readers enter the fray through David Pietrusza's page-turning account: Roosevelt's fellow Democrats may yet halt him at a deadlocked convention. 1928's Democratic nominee, Al Smith, harbors a grudge against his one-time protege. Press baron William Randolph Hearst lays his own plans to block Roosevelt's ascent to the White House. FDR's politically-inspired juggling of a New York City scandal threatens his juggernaut. In Germany, the Nazis surge at the polls but twice fall short of Reichstag majorities. Hitler, tasting power after a lifetime of failure and obscurity, falls to Hindenburg for the presidency--also twice within the year. Cabals and counter-cabals plot. Secrets of love and suicide haunt Hitler.Yet guile, ambition--and terror--may yet still prevail.1932's breathtaking narrative covers two epic stories that possess haunting parallels to today's crisis-filled vortex. It is an all-too-human tale of scapegoats and panaceas, class warfare and racial politics, of a seemingly bottomless depression, of massive unemployment and hardship, of unprecedented public works/infrastructure programs, of business stimulus programs and damaging allegations of political cronyism, of waves of bank failures and of mortgages foreclosed, of Washington bonus marches and Berlin street fights, of once-solid financial empires collapsing seemingly overnight, of rapidly shifting social mores, and of mountains of irresponsible international debt threatening to crash not just mere nations but the entire global economy.It is the tale of spell-binding leaders versus bland businessmen and out-of-touch upper-class elites and of two nations inching to safety but lurching toward disaster. It is 1932's nightmare--with lessons for today.  ",$19.50,4.1
3002,022618840X,book,hardcover,Growing Each Other Up: When Our Children Become Our Teachers,Sara Lawrence-Lightfoot,University Of Chicago Press," From growing their children, parents grow themselves, learning the lessons their children teach. “Growing up”, then, is as much a developmental process of parenthood as it is of childhood. While countless books have been written about the challenges of parenting, nearly all of them position the parent as instructor and support-giver, the child as learner and in need of direction. But the parent-child relationship is more complicated and reciprocal; over time it transforms in remarkable, surprising ways. As our children grow up, and we grow older, what used to be a one-way flow of instruction and support, from parent to child, becomes instead an exchange. We begin to learn from them. The lessons parents learn from their offspring—voluntarily and involuntarily, with intention and serendipity, often through resistance and struggle—are embedded in their evolving relationships and shaped by the rapidly transforming world around them.   With Growing Each Other Up, Macarthur Prize–winning sociologist and educator Sara Lawrence-Lightfoot offers an intimately detailed, emotionally powerful account of that experience. Building her book on a series of in-depth interviews with parents around the country, she offers a counterpoint to the usual parental development literature that mostly concerns the adjustment of parents to their babies’ rhythms and the ways parents weather the storms of their teenage progeny. The focus here is on the lessons emerging adult children, ages 15 to 35, teach their parents. How are our perspectives as parents shaped by our children? What lessons do we take from them and incorporate into our worldviews? Just how much do we learn—often despite our own emotionally fraught resistance—from what they have seen of life that we, perhaps, never experienced? From these parent portraits emerges the shape of an education composed by young adult children—an education built on witness, growing, intimacy, and acceptance.  Growing Each Other Up is rich in the voices of actual parents telling their own stories of raising children and their children raising them; watching that fundamental connection shift over time. Parents and children of all ages will recognize themselves in these evocative and moving accounts and look at their own growing up in a revelatory new light.  ",$18.34,5.0
3003,1627797173,book,hardcover,Freud: The Making of an Illusion,Frederick Crews,Metropolitan Books," From the master of Freud debunkers, the book that definitively puts an end to the myth of psychoanalysis and its creatorSince the 1970s, Sigmund Freud’s scientific reputation has been in an accelerating tailspin―but nonetheless the idea persists that some of his contributions were visionary discoveries of lasting value. Now, drawing on rarely consulted archives, Frederick Crews has assembled a great volume of evidence that reveals a surprising new Freud: a man who blundered tragicomically in his dealings with patients, who in fact never cured anyone, who promoted cocaine as a miracle drug capable of curing a wide range of diseases, and who advanced his career through falsifying case histories and betraying the mentors who had helped him to rise. The legend has persisted, Crews shows, thanks to Freud’s fictive self-invention as a master detective of the psyche, and later through a campaign of censorship and falsification conducted by his followers.A monumental biographical study and a slashing critique, Freud: The Making of an Illusion will stand as the last word on one of the most significant and contested figures of the twentieth century.",$21.60,3.7
3004,1612196349,book,hardcover,Dirty Wars and Polished Silver: The Life and Times of a War Correspondent Turned Ambassatrix,Lynda Schuster,Melville House," From a former Wall Street Journal foreign correspondent, an exuberant memoir of life, love, and transformation on the frontlines of conflicts around the worldGrowing up in 1970s Detroit, Lynda Schuster felt certain life was happening elsewhere. And as soon as she graduated from high school, she set out to find it. Dirty Wars and Polished Silver is Schuster’s story of her life abroad as a foreign correspondent in war-torn countries, and, later, as the wife of a U.S. Ambassador. It chronicles her time working on a kibbutz in Israel, reporting on uprisings in Central America and a financial crisis in Mexico, dodging rocket fire in Lebanon, and grieving the loss of her first husband, a fellow reporter, who was killed only ten months after their wedding.But even after her second marriage, to a U.S. diplomat, all the black-tie parties and personal staff and genteel “Ambassatrix School” grooming in the world could not protect her from the violence of war.Equal parts gripping and charming, Dirty Wars and Polished Silver is a story about one woman’s quest for self-discovery—only to find herself, unexpectedly, more or less back where she started: wiser, saner, more resolved. And with all her limbs intact.",$15.60,4.9
3005,0691155240,book,hardcover,Fragile by Design: The Political Origins of Banking Crises and Scarce Credit (Princeton Economic History of the Western World),"Charles W. Calomiris, Stephen H. Haber",Princeton University Press," Why are banking systems unstable in so many countries―but not in others? The United States has had twelve systemic banking crises since 1840, while Canada has had none. The banking systems of Mexico and Brazil have not only been crisis prone but have provided miniscule amounts of credit to business enterprises and households.Analyzing the political and banking history of the United Kingdom, the United States, Canada, Mexico, and Brazil through several centuries, Fragile by Design demonstrates that chronic banking crises and scarce credit are not accidents. Calomiris and Haber combine political history and economics to examine how coalitions of politicians, bankers, and other interest groups form, why they endure, and how they generate policies that determine who gets to be a banker, who has access to credit, and who pays for bank bailouts and rescues.Fragile by Design is a revealing exploration of the ways that politics inevitably intrudes into bank regulation.",$12.92,4.1
3006,1481441396,book,hardcover,This Beautiful Day,"Richard Jackson, Suzy Lee",Atheneum/Caitlyn Dlouhy Books," In the tradition of We’re Going on a Bear Hunt, acclaimed author Richard Jackson and award-winning illustrator Suzy Lee prove you can chase away any grey and gloomy day with just the right attitude, and a little bit of color.Why spend a rainy day inside? As three children embrace a grey day, they seems to beckon the bright as they jump, splash, and dance outside, chasing the rain away. The day’s palette shifts from greys to a hint of blue, then more blue. Then green! Then yellow! Until the day is a technicolor extravaganza that would make Mary Poppins proud. A joyous homage to the power of a positive attitude.",$14.92,4.6
3007,022609393X,book,hardcover,"Practical Botany for Gardeners: Over 3,000 Botanical Terms Explained and Explored",Geoff Hodge,University Of Chicago Press, Title: Practical Botany for Gardeners( Over 3 000 Botanical Terms Explained and Explored) <>Binding: Hardcover <>Author: GeoffHodge <>Publisher: UniversityofChicagoPress,$19.62,4.6
3008,1782008292,book,hardcover,"Enduring Freedom, Enduring Voices: US Operations in Afghanistan (General Military)",Michael G. Walling,Osprey Publishing," The war in Afghanistan has become one of the most complex, challenging operations in the history of the US military. Using first-hand accounts of the men and women who fought in Operation Enduring Freedom, this book presents an intensely personal history of the war in Afghanistan, revealing the determination, heroism, sacrifice, and strength of spirit that came to form the fabric of the conflict.Enduring Freedom, Enduring Voices places the first-hand accounts of serving men and women into the context of the military operations. Drawing on gripping oral histories, from theater commanders, Special Forces troops, reconstruction teams, and everyday soldiers, Michael G. Walling analyzes operations as they were experienced by individuals, from those immediately following 9/11 through to those in 2014 as US troops prepared to withdraw. Written following a research trip to the region, in which the author spent considerable time embedded with the US forces, Walling's unique and intensely personal history offers a timely insight into the conflict as the majority of NATO forces are withdrawn – the final chapter in the story of US military operations in Afghanistan.He also charts the evolution of US military structure as it was forced to adapt to cope with the non-conventional, but nonetheless deadly threats of asymmetric warfare, as well as detailing covert ops, infrastructure rebuilding, and the training of Afghan forces.Resonating across gender, age, nationality, and ethnicity, this book is not just a document of US fortunes in a far-flung conflict. It is a  tribute to the determination, heroism, sacrifice, and the strength of the human spirit.",$7.50,4.4
3009,0983548889,book,hardcover,God Loves Me Such: That He Would Give,Gaven M Mize,Grail Quest Books," God Loves Me Such is a journey through our salvation history and how the saving grace of Jesus Christ is bestowed upon us. This journey is seen through the eyes of a little boy and his toys which aid him is worshiping, sinning, repenting, and finally wake up with our little hero as he starts a new day in the remembrance of his baptism and prayer. You can even pray with our hero and your little one on the last page. ",$15.99,4.8
3010,1555812546,book,hardcover,"Antibiotics: Actions, Origins, Resistance",Christopher Walsh,Amer Society for Microbiology,,,
