,ASIN,GROUP,FORMAT,TITLE,AUTHOR,PUBLISHER,Description,Price,Rating
48001,1138793124,book,paperback,Niche Tactics: Generative Relationships Between Architecture and Site,Caroline O'Donnell,Routledge,,,
48002,162184059X,book,paperback,Rebel,R J Anderson,Enclave Publishing," No Ordinary Fairy Tale  The last time Timothy broke a rule, he got suspended. But when he defies the faery empress, it might well get him killed. Timothy Sinclair doesn't believe in faeries - after all the hardships he's suffered since his missionary parents sent him away to boarding school, he's not even sure he still believes in God. But when a tiny winged girl named Linden bursts into his life and begs him to help save her people, the skeptical Timothy finds himself drawn into a struggle against a potent evil that threatens humans and faeries alike. With a deadly pair of hunters on their trail, Timothy and Linden flee across country, drawn by the legend of a white stone that could be the faeries' salvation. But the dangers that await them test their courage and resolve to the limit, threatening to tear their unlikely partnership apart. And when it comes down to one last desperate battle, they and all the people they love will be doomed unless Linden and Timothy can find the faith to overcome... Book two of the No Ordinary Fairy Tale series. Previously published in the US under the title Wayfarer.",$9.10,4.5
48003,399574123,book,paperback,Imagimorphia: An Extreme Coloring and Search Challenge,Kerby Rosanes,Plume," Fans of adult coloring books are invited to enter the weird and wonderful world of Kerby Rosanes, the illustrator behind internationally bestselling Animorphia, Geomorphia, Fantomorphia, and Mythomorphia. The perfect stocking stuffer gift for anyone who loves a coloring book challenge!  A coloring book like you've never seen before—perfect for colored pencils, crayons, or markers!In Imagimorphia, animals and objects morph and explode into astounding detail. Bring each intricate image to life with color and find the objects hidden throughout the book. Printed on quality paper, Imagimorphia is a quirky coloring and search book for fans of adult coloring books like no other.An amazing adult coloring book challenge, featuring the strange and superdetailed images of artist Kerby Rosanes. Find your zen as you bring this beautiful art to life! Imagimorphia is packed full of intricate images of stunning creatures and landscapes morphing and shapeshifting into Kerby's signature, breathtaking scenes. The world that he imagines will excite and transport drawers, as he brings this beautiful fantasyscape and its creatures to life. Imagimorphia is an amazing adult coloring book challenge featuring his trademark strange and super-detailed images, and perfect for coloring then posting on the wall or framing. The perfect gift for anyone in your life who loves adult coloring books!",$13.77,4.7
48004,1620555026,book,paperback,The Psychedelic Gospels: The Secret History of Hallucinogens in Christianity,"Jerry B. Brown Ph.D., Julie M. Brown M.A.",Park Street Press," Reveals evidence of visionary plants in Christianity and the life of Jesus found in medieval art and biblical scripture--hidden in plain sight for centuries• Follows the authors’ anthropological adventure discovering sacred mushroom images in European and Middle Eastern churches, including Roslyn Chapel and Chartres• Provides color photos showing how R. Gordon Wasson’s psychedelic theory of religion clearly extends to Christianity and reveals why Wasson suppressed this information due to his secret relationship with the Vatican• Examines the Bible and the Gnostic Gospels to show that visionary plants were the catalyst for Jesus’s awakening to his divinity and immortalityThroughout medieval Christianity, religious works of art emerged to illustrate the teachings of the Bible for the largely illiterate population. What, then, is the significance of the psychoactive mushrooms hiding in plain sight in the artwork and icons of many European and Middle-Eastern churches? Does Christianity have a psychedelic history?Providing stunning visual evidence from their anthropological journey throughout Europe and the Middle East, including visits to Roslyn Chapel and Chartres Cathedral, authors Julie and Jerry Brown document the role of visionary plants in Christianity. They retrace the pioneering research of R. Gordon Wasson, the famous “sacred mushroom seeker,” on psychedelics in ancient Greece and India, and among the present-day reindeer herders of Siberia and the Mazatecs of Mexico. Challenging Wasson’s legacy, the authors reveal his secret relationship with the Vatican that led to Wasson’s refusal to pursue his hallucinogen theory into the hallowed halls of Christianity.Examining the Bible and the Gnostic Gospels, the authors provide scriptural support to show that sacred mushrooms were the inspiration for Jesus’ revelation of the Kingdom of Heaven and that he was initiated into these mystical practices in Egypt during the Missing Years. They contend that the Trees of Knowledge and of Immortality in Eden were sacred mushrooms.Uncovering the role played by visionary plants in the origins of Judeo-Christianity, the authors invite us to rethink what we know about the life of Jesus and to consider a controversial theory that challenges us to explore these sacred pathways to the divine.",$16.95,4.6
48005,553384902,book,paperback,The Rise and Fall of Ancient Egypt,Toby Wilkinson,Random House Trade Paperbacks," NEW YORK TIMES BESTSELLER“Magisterial . . . [A] rich portrait of ancient Egypt’s complex evolution over the course of three millenniums.”—Los Angeles Times   NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The Washington Post • Publishers Weekly   In this landmark volume, one of the world’s most renowned Egyptologists tells the epic story of this great civilization, from its birth as the first nation-state to its absorption into the Roman Empire. Drawing upon forty years of archaeological research, award-winning scholar Toby Wilkinson takes us inside a tribal society with a pre-monetary economy and decadent, divine kings who ruled with all-too-recognizable human emotions. Here are the legendary leaders: Akhenaten, the “heretic king,” who with his wife Nefertiti brought about a revolution with a bold new religion; Tutankhamun, whose dazzling tomb would remain hidden for three millennia; and eleven pharaohs called Ramesses, the last of whom presided over the militarism, lawlessness, and corruption that caused a political and societal decline. Filled with new information and unique interpretations, The Rise and Fall of Ancient Egypt is a riveting and revelatory work of wild drama, bold spectacle, unforgettable characters, and sweeping history.   “With a literary flair and a sense for a story well told, Mr. Wilkinson offers a highly readable, factually up-to-date account.”—The Wall Street Journal   “[Wilkinson] writes with considerable verve. . . . [He] is nimble at conveying the sumptuous pageantry and cultural sophistication of pharaonic Egypt.”—The New York Times",$19.55,4.3
48006,199837392,book,paperback,Introduction to Game Theory: A Behavioral Approach,Kenneth C. Williams,Oxford University Press,,,
48007,3426504405,book,paperback,Chile 02. Jenseits von Feuerland,Carla Federico,Droemer Knaur,,$19.93,
48008,1935688154,book,paperback,Phantastes: Annotated Edition,John Pennington,"Winged Lion Press, LLC"," Phantastes was a groundbreaking book in 1858 and continues to be a seminal example of great fantasy literature. Its elusive meaning is both alluring and perplexing, inviting readers to experience a range of deep feelings and a sense of profound truth. This annotated edition, by two renowned MacDonald scholars, provides a wealth of information to better understand and enjoy this masterpiece. In addition to the text, there are 184 pages containing an authoritative introduction, life chronology, textual notes, book reviews, and comparative source materials. With 354 footnotes to explain obscure words and literary references, this enhanced edition will benefit any reader and will provide a solid foundation for future scholarship. ""By placing Phantastes within older and wider British and Continental literary traditions and by establishing this text’s affinities with the iconography of artists such as William Blake, the editors enrich our sense of George MacDonald’s influential promotion of a supra-reality best discerned by “poetic and childlike” minds."" U. C. Knoepflmacher, Author of Ventures in Childland:Victorians, Fairy Tales, and Femininity ""A good critical edition of George MacDonald’s Phantastes has long been needed, and now we have it. This fine, comprehensive edition provides an accessible and illuminating introduction to this profound work."" Colin Manlove, Author of Scotland’s Forgotten Treasure:The Visionary Novels of George MacDonald  Any serious reader of Phantastes will fi nd this edition to deepen his or her understanding and enjoyment of MacDonald’s fantasy masterpiece, and MacDonald scholars will find it an invaluable resource. Bonnie Gaarden, Author of The Christian Goddess: Archetype and Theology in the Fantasies of George MacDonald John Pennington, professor of English at St. Norbert College, specializes in Victorian fairy tales and is the editor of North Wind: The Journal of George MacDonald Studies. Roderick McGillis, emeritus professor of English at University of Calgary, has written widely on MacDonald and edited several essay collections of George MacDonald scholarship.",$19.50,4.3
48009,984916172,book,paperback,"Make A Killing On Kindle Without Blogging, Facebook Or Twitter: The Guerilla Marketer's Guide To Selling Ebooks On Amazon",Michael Alvear,Woodpecker Media,,,
48010,1439176671,book,paperback,Day by Day Armageddon,J. L. Bourne,Pocket Books," Once on the fringes of horror, the “zombie apocalypse,” has become one of the most buzzworthy genres in popular culture. Now, in Day by Day Armageddon, J.L. Bourne delivers an intelligent, gripping thriller that will leave both new and die-hard zombie fans breathless--perfect for fans of The Walking Dead.Sporadic news reports indicate chaos and violence spreading through U.S. cities. An unknown evil is sweeping the planet. The dead are rising to claim the Earth as the new dominant species in the food chain.This is the handwritten journal depicting one man’s struggle for survival. Trapped in the midst of global disaster, he must make decisions; choices that ultimately mean life, or the eternal curse to walk as one of them. Enter if you will into his world. The world of the undead.",$12.30,4.4
